﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9662,9660,746132,1858651,921613,937038
新營區,23,23,412,412,30762,74782,36652,38130
鹽水區,13,13,146,146,10285,23969,12462,11507
白河區,21,21,213,213,10596,25393,13241,12152
柳營區,13,13,146,146,8185,20007,10416,9591
後壁區,14,14,143,142,8894,21292,10955,10337
東山區,16,16,193,193,8092,18836,10050,8786
麻豆區,20,20,239,239,17053,43036,21773,21263
下營區,12,12,167,167,9409,22077,11381,10696
六甲區,11,11,155,155,8352,21110,10874,10236
官田區,10,10,139,139,8439,20669,10549,10120
大內區,10,10,85,85,3634,8588,4599,3989
佳里區,16,16,257,257,22640,58470,28760,29710
學甲區,13,13,154,154,10048,24537,12590,11947
西港區,12,12,152,152,9319,25004,12590,12414
七股區,18,18,154,154,7957,20760,10733,10027
將軍區,12,12,124,124,7078,18070,9216,8854
北門區,10,10,85,85,3943,9712,4896,4816
新化區,16,16,185,185,15606,42292,21337,20955
善化區,20,20,243,243,21782,53300,26776,26524
新市區,11,11,174,174,14730,37913,19023,18890
安定區,13,13,144,144,11345,29842,15335,14507
山上區,7,7,64,64,2762,6916,3643,3273
玉井區,10,10,103,103,5260,12830,6630,6200
楠西區,7,7,77,77,3468,8532,4511,4021
南化區,9,9,65,65,2772,7786,4180,3606
左鎮區,10,10,67,67,1801,4124,2364,1760
仁德區,16,16,303,302,30988,77574,38927,38647
歸仁區,21,21,312,312,25918,69818,35109,34709
關廟區,15,15,209,209,12060,33048,16880,16168
龍崎區,8,8,53,53,1442,3352,1824,1528
永康區,43,43,1095,1095,94092,235623,115199,120424
東區,45,45,877,877,76070,181962,86380,95582
南區,37,37,624,624,49088,120323,58975,61348
北區,33,33,557,557,53536,125821,60723,65098
安南區,51,51,856,856,74779,203838,101962,101876
安平區,13,13,298,298,30311,70321,32977,37344
中西區,20,20,392,392,33636,77124,37121,40003
